"Search Characteristic","Values Selected"
Year 2010
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
,"20-24 years",53,732,72.4
,"25-29 years",45,974,46.2
,"30-34 years",26,859,30.3
,"35-39 years",".",881,"."
"Beaver","18-19 years",".",128,"."
,"20-24 years",14,276,50.7
,"25-29 years",19,295,64.4
,"30-34 years",9,263,34.2
,"35-39 years",".",296,"."
,"40-44 years",5,292,17.1
"Beckham","15-17 years",5,827,6.0
,"18-19 years",18,455,39.6
,"20-24 years",104,1397,74.4
,"25-29 years",98,1658,59.1
,"30-34 years",52,1690,30.8
,"35-39 years",15,1584,9.5
,"40-44 years",".",1356,"."
"Blaine","15-17 years",".",380,"."
,"18-19 years",12,195,61.5
,"20-24 years",33,501,65.9
,"25-29 years",37,500,74.0
,"30-34 years",13,488,26.6
,"35-39 years",11,505,21.8
,"40-44 years",".",487,"."
"Bryan","15-17 years",14,1792,7.8
,"18-19 years",45,1366,32.9
,"20-24 years",212,3142,67.5
,"25-29 years",174,3472,50.1
,"30-34 years",99,3386,29.2
,"35-39 years",33,2977,11.1
,"40-44 years",10,2644,3.8
,"45-54 years",".",5502,"."
"Caddo","15-17 years",7,1233,5.7
,"18-19 years",24,692,34.7
,"20-24 years",99,1664,59.5
,"25-29 years",113,1990,56.8
,"30-34 years",59,1865,31.6
,"35-39 years",31,1858,16.7
,"40-44 years",".",1655,"."
"Canadian","15-17 years",16,6383,2.5
,"18-19 years",60,3275,18.3
,"20-24 years",348,7916,44.0
,"25-29 years",593,10230,58.0
,"30-34 years",494,11675,42.3
,"35-39 years",209,11860,17.6
,"40-44 years",32,10049,3.2
,"45-54 years",".",17753,"."
"Carter","15-17 years",13,2052,6.3
,"18-19 years",48,1063,45.2
,"20-24 years",199,2801,71.0
,"25-29 years",205,3339,61.4
,"30-34 years",108,2847,37.9
,"35-39 years",53,3012,17.6
,"40-44 years",11,2861,3.8
"Cherokee","10-14 years",".",2968,"."
,"15-17 years",11,1819,6.0
,"18-19 years",40,1873,21.4
,"20-24 years",170,5309,32.0
,"25-29 years",170,3199,53.1
,"30-34 years",117,2707,43.2
,"35-39 years",43,3012,14.3
,"40-44 years",9,2534,3.6
"Choctaw","15-17 years",5,608,8.2
,"18-19 years",12,316,38.0
,"20-24 years",58,779,74.5
,"25-29 years",43,873,49.3
,"30-34 years",31,737,42.1
,"35-39 years",10,763,13.1
,"40-44 years",".",832,"."
"Cimarron","15-17 years",".",89,"."
,"18-19 years",".",44,"."
,"20-24 years",6,89,67.4
,"25-29 years",".",105,"."
,"30-34 years",5,100,50.0
,"35-39 years",".",109,"."
"Cleveland","10-14 years",".",17873,"."
,"15-17 years",36,10850,3.3
,"18-19 years",112,10340,10.8
,"20-24 years",614,30837,19.9
,"25-29 years",862,22025,39.1
,"30-34 years",733,19630,37.3
,"35-39 years",378,20518,18.4
,"40-44 years",69,17092,4.0
,"45-54 years",".",31772,"."
,"Unknown Age",".",".","."
"Coal","15-17 years",".",236,"."
,"18-19 years",".",111,"."
,"20-24 years",25,313,79.9
,"25-29 years",22,335,65.7
,"30-34 years",11,269,40.9
,"35-39 years",".",266,"."
,"40-44 years",".",338,"."
"Comanche","10-14 years",".",7671,"."
,"15-17 years",24,4332,5.5
,"18-19 years",86,4210,20.4
,"20-24 years",573,10811,53.0
,"25-29 years",544,10490,51.9
,"30-34 years",319,9467,33.7
,"35-39 years",154,8486,18.1
,"40-44 years",21,6796,3.1
,"45-54 years",".",12554,"."
"Cotton","15-17 years",".",201,"."
,"18-19 years",".",124,"."
,"20-24 years",17,298,57.0
,"25-29 years",14,314,44.6
,"30-34 years",12,292,41.1
,"35-39 years",".",333,"."
"Craig","15-17 years",".",542,"."
,"18-19 years",17,317,53.6
,"20-24 years",47,839,56.0
,"25-29 years",54,882,61.2
,"30-34 years",19,811,23.4
,"35-39 years",7,816,8.6
,"40-44 years",".",835,"."
"Creek","15-17 years",16,2958,5.4
,"18-19 years",51,1628,31.3
,"20-24 years",274,4028,68.0
,"25-29 years",256,4467,57.3
,"30-34 years",159,4164,38.2
,"35-39 years",72,4421,16.3
,"40-44 years",13,4118,3.2
"Custer","15-17 years",5,1199,4.2
,"18-19 years",14,1200,11.7
,"20-24 years",101,3618,27.9
,"25-29 years",132,1940,68.0
,"30-34 years",85,1722,49.4
,"35-39 years",33,1900,17.4
,"40-44 years",7,1417,4.9
"Delaware","15-17 years",17,1572,10.8
,"18-19 years",29,930,31.2
,"20-24 years",146,2152,67.8
,"25-29 years",145,2298,63.1
,"30-34 years",68,2172,31.3
,"35-39 years",25,2201,11.4
,"40-44 years",".",2139,"."
"Dewey","18-19 years",".",111,"."
,"20-24 years",13,215,60.5
,"25-29 years",23,305,75.4
,"30-34 years",18,274,65.7
,"35-39 years",".",298,"."
,"40-44 years",".",274,"."
"Ellis","18-19 years",".",74,"."
,"20-24 years",14,193,72.5
,"25-29 years",18,194,92.8
,"30-34 years",5,173,28.9
,"35-39 years",8,219,36.5
"Garfield","15-17 years",7,2430,2.9
,"18-19 years",37,1319,28.1
,"20-24 years",226,4006,56.4
,"25-29 years",291,4357,66.8
,"30-34 years",185,4113,45.0
,"35-39 years",68,4134,16.4
,"40-44 years",15,3390,4.4
"Garvin","15-17 years",9,1127,8.0
,"18-19 years",27,666,40.5
,"20-24 years",103,1535,67.1
,"25-29 years",126,1651,76.3
,"30-34 years",63,1598,39.4
,"35-39 years",24,1870,12.8
,"40-44 years",".",1606,"."
"Grady","15-17 years",14,2466,5.7
,"18-19 years",37,1317,28.1
,"20-24 years",164,3065,53.5
,"25-29 years",178,3266,54.5
,"30-34 years",124,3306,37.5
,"35-39 years",40,3867,10.3
,"40-44 years",10,3420,2.9
"Grant","18-19 years",".",95,"."
,"20-24 years",9,197,45.7
,"25-29 years",16,237,67.5
,"30-34 years",5,243,20.6
,"35-39 years",".",243,"."
"Greer","18-19 years",".",124,"."
,"20-24 years",11,347,31.7
,"25-29 years",16,459,34.9
,"30-34 years",10,452,22.1
,"35-39 years",".",404,"."
,"40-44 years",".",385,"."
"Harmon","10-14 years",".",199,"."
,"15-17 years",".",108,"."
,"18-19 years",5,57,87.7
,"20-24 years",12,145,82.8
,"25-29 years",14,139,100.7
,"30-34 years",".",152,"."
"Harper","15-17 years",".",145,"."
,"18-19 years",".",86,"."
,"20-24 years",9,165,54.5
,"25-29 years",13,187,69.5
,"30-34 years",7,183,38.3
,"35-39 years",".",268,"."
,"40-44 years",".",229,"."
"Haskell","15-17 years",".",527,"."
,"18-19 years",17,285,59.6
,"20-24 years",61,692,88.2
,"25-29 years",42,713,58.9
,"30-34 years",16,674,23.7
,"35-39 years",8,816,9.8
"Hughes","15-17 years",".",486,"."
,"18-19 years",20,298,67.1
,"20-24 years",60,844,71.1
,"25-29 years",49,1010,48.5
,"30-34 years",18,854,21.1
,"35-39 years",8,890,9.0
,"40-44 years",".",757,"."
"Jackson","15-17 years",7,952,7.4
,"18-19 years",14,603,23.2
,"20-24 years",116,1901,61.0
,"25-29 years",114,1855,61.5
,"30-34 years",76,1871,40.6
,"35-39 years",22,1601,13.7
,"40-44 years",11,1317,8.4
"Jefferson","15-17 years",".",235,"."
,"18-19 years",6,139,43.2
,"20-24 years",15,283,53.0
,"25-29 years",25,309,80.9
,"30-34 years",10,376,26.6
,"35-39 years",5,323,15.5
"Johnston","15-17 years",".",446,"."
,"18-19 years",11,339,32.4
,"20-24 years",49,654,74.9
,"25-29 years",47,660,71.2
,"30-34 years",22,603,36.5
,"35-39 years",6,639,9.4
"Kay","15-17 years",7,1810,3.9
,"18-19 years",43,1127,38.2
,"20-24 years",186,2509,74.1
,"25-29 years",157,2858,54.9
,"30-34 years",96,2430,39.5
,"35-39 years",33,2607,12.7
,"40-44 years",".",2469,"."
"Kingfisher","15-17 years",".",729,"."
,"18-19 years",13,396,32.8
,"20-24 years",35,890,39.3
,"25-29 years",60,903,66.4
,"30-34 years",54,918,58.8
,"35-39 years",15,1079,13.9
,"40-44 years",".",870,"."
"Kiowa","15-17 years",5,341,14.7
,"18-19 years",5,203,24.6
,"20-24 years",21,454,46.3
,"25-29 years",34,516,65.9
,"30-34 years",19,468,40.6
,"35-39 years",9,479,18.8
,"40-44 years",".",446,"."
"Latimer","15-17 years",".",395,"."
,"18-19 years",9,344,26.2
,"20-24 years",36,607,59.3
,"25-29 years",34,609,55.8
,"30-34 years",19,493,38.5
,"35-39 years",".",580,"."
,"40-44 years",".",510,"."
"Le Flore","10-14 years",".",3567,"."
,"15-17 years",8,2056,3.9
,"18-19 years",47,1319,35.6
,"20-24 years",208,2865,72.6
,"25-29 years",195,3189,61.1
,"30-34 years",92,2866,32.1
,"35-39 years",31,3069,10.1
,"40-44 years",8,2924,2.7
"Lincoln","15-17 years",6,1479,4.1
,"18-19 years",20,795,25.2
,"20-24 years",111,1814,61.2
,"25-29 years",119,2080,57.2
,"30-34 years",74,1913,38.7
,"35-39 years",29,2110,13.7
,"40-44 years",13,1984,6.6
"Logan","15-17 years",5,1988,2.5
,"18-19 years",18,1856,9.7
,"20-24 years",114,3060,37.3
,"25-29 years",153,2567,59.6
,"30-34 years",135,2822,47.8
,"35-39 years",54,3279,16.5
,"40-44 years",15,2949,5.1
,"45-54 years",".",5906,"."
"Love","15-17 years",".",402,"."
,"18-19 years",12,249,48.2
,"20-24 years",33,585,56.4
,"25-29 years",39,674,57.9
,"30-34 years",17,615,27.6
,"35-39 years",6,636,9.4
,"40-44 years",".",557,"."
"McClain","15-17 years",5,1895,2.6
,"18-19 years",19,888,21.4
,"20-24 years",116,2181,53.2
,"25-29 years",151,2203,68.5
,"30-34 years",104,2494,41.7
,"35-39 years",47,2911,16.1
,"40-44 years",5,2746,1.8
"McCurtain","15-17 years",12,1337,9.0
,"18-19 years",29,776,37.4
,"20-24 years",164,1929,85.0
,"25-29 years",148,2140,69.2
,"30-34 years",63,1892,33.3
,"35-39 years",31,1883,16.5
,"40-44 years",".",1788,"."
"McIntosh","15-17 years",5,721,6.9
,"18-19 years",16,360,44.4
,"20-24 years",77,969,79.5
,"25-29 years",40,984,40.7
,"30-34 years",33,934,35.3
,"35-39 years",12,1041,11.5
,"40-44 years",".",989,"."
"Major","18-19 years",10,179,55.9
,"20-24 years",20,367,54.5
,"25-29 years",23,377,61.0
,"30-34 years",15,386,38.9
,"35-39 years",8,487,16.4
,"40-44 years",".",423,"."
"Marshall","15-17 years",9,678,13.3
,"18-19 years",14,370,37.8
,"20-24 years",73,906,80.6
,"25-29 years",61,965,63.2
,"30-34 years",33,825,40.0
,"35-39 years",21,901,23.3
,"45-54 years",".",1996,"."
"Mayes","10-14 years",".",2782,"."
,"15-17 years",7,1646,4.3
,"18-19 years",34,953,35.7
,"20-24 years",154,2299,67.0
,"25-29 years",131,2617,50.1
,"30-34 years",75,2315,32.4
,"35-39 years",32,2473,12.9
,"40-44 years",5,2413,2.1
"Murray","15-17 years",6,553,10.8
,"18-19 years",15,325,46.2
,"20-24 years",50,785,63.7
,"25-29 years",47,790,59.5
,"30-34 years",23,767,30.0
,"35-39 years",13,886,14.7
,"40-44 years",".",757,"."
"Muskogee","10-14 years",".",4785,"."
,"15-17 years",20,2748,7.3
,"18-19 years",60,1837,32.7
,"20-24 years",288,4333,66.5
,"25-29 years",250,4391,56.9
,"30-34 years",138,4269,32.3
,"35-39 years",60,4373,13.7
,"40-44 years",22,3989,5.5
,"Unknown Age",".",".","."
"Noble","15-17 years",".",457,"."
,"18-19 years",8,245,32.7
,"20-24 years",34,565,60.2
,"25-29 years",39,589,66.2
,"30-34 years",27,648,41.7
,"35-39 years",11,686,16.0
,"40-44 years",".",618,"."
"Nowata","18-19 years",".",216,"."
,"20-24 years",31,490,63.3
,"25-29 years",35,650,53.8
,"30-34 years",15,581,25.8
,"35-39 years",6,578,10.4
,"40-44 years",".",563,"."
"Okfuskee","15-17 years",5,424,11.8
,"18-19 years",16,262,61.1
,"20-24 years",53,712,74.4
,"25-29 years",43,782,55.0
,"30-34 years",18,738,24.4
,"35-39 years",9,763,11.8
,"40-44 years",".",746,"."
"Oklahoma","10-14 years",6,55267,0.1
,"15-17 years",203,31664,6.4
,"18-19 years",558,19446,28.7
,"20-24 years",2511,52735,47.6
,"25-29 years",3412,63353,53.9
,"30-34 years",2932,59975,48.9
,"35-39 years",1426,56631,25.2
,"40-44 years",252,47987,5.3
,"45-54 years",10,88744,0.1
"Okmulgee","10-14 years",".",2576,"."
,"15-17 years",6,1588,3.8
,"18-19 years",38,1154,32.9
,"20-24 years",145,2479,58.5
,"25-29 years",164,2501,65.6
,"30-34 years",87,2109,41.3
,"35-39 years",29,2252,12.9
,"40-44 years",8,2074,3.9
"Osage","10-14 years",".",3006,"."
,"15-17 years",6,1892,3.2
,"18-19 years",17,1016,16.7
,"20-24 years",119,2495,47.7
,"25-29 years",126,2812,44.8
,"30-34 years",93,2656,35.0
,"35-39 years",39,2797,13.9
,"40-44 years",9,2678,3.4
"Ottawa","15-17 years",5,1229,4.1
,"18-19 years",25,1017,24.6
,"20-24 years",134,2053,65.3
,"25-29 years",129,2014,64.1
,"30-34 years",70,1712,40.9
,"35-39 years",17,1744,9.7
,"40-44 years",".",1671,"."
"Pawnee","15-17 years",".",685,"."
,"18-19 years",12,373,32.2
,"20-24 years",55,867,63.4
,"25-29 years",56,947,59.1
,"30-34 years",40,902,44.3
,"35-39 years",13,907,14.3
,"40-44 years",".",992,"."
"Payne","10-14 years",".",4413,"."
,"15-17 years",9,2675,3.4
,"18-19 years",46,5299,8.7
,"20-24 years",180,16479,10.9
,"25-29 years",267,6241,42.8
,"30-34 years",190,4671,40.7
,"35-39 years",86,4591,18.7
,"40-44 years",10,3895,2.6
"Pittsburg","15-17 years",6,1618,3.7
,"18-19 years",27,877,30.8
,"20-24 years",159,2387,66.6
,"25-29 years",177,2977,59.5
,"30-34 years",82,2758,29.7
,"35-39 years",33,2813,11.7
,"40-44 years",9,2467,3.6
,"45-54 years",".",5057,"."
"Pontotoc","10-14 years",".",2520,"."
,"15-17 years",9,1501,6.0
,"18-19 years",32,1295,24.7
,"20-24 years",164,2919,56.2
,"25-29 years",161,2781,57.9
,"30-34 years",103,2593,39.7
,"35-39 years",49,2365,20.7
,"40-44 years",10,2117,4.7
,"45-54 years",".",4051,"."
"Pottawatomie","10-14 years",".",4918,"."
,"15-17 years",17,2875,5.9
,"18-19 years",55,2173,25.3
,"20-24 years",239,4761,50.2
,"25-29 years",291,4833,60.2
,"30-34 years",166,4474,37.1
,"35-39 years",86,4703,18.3
,"40-44 years",17,4439,3.8
,"45-54 years",".",8801,"."
"Pushmataha","15-17 years",".",418,"."
,"18-19 years",9,229,39.3
,"20-24 years",30,527,56.9
,"25-29 years",40,608,65.8
,"30-34 years",22,623,35.3
,"35-39 years",8,613,13.1
,"40-44 years",".",573,"."
"Roger Mills","15-17 years",".",153,"."
,"18-19 years",5,76,65.8
,"20-24 years",13,172,75.6
,"25-29 years",11,167,65.9
,"30-34 years",10,164,61.0
,"35-39 years",".",252,"."
"Rogers","15-17 years",11,3891,2.8
,"18-19 years",39,2312,16.9
,"20-24 years",264,5665,46.6
,"25-29 years",345,5941,58.1
,"30-34 years",217,5644,38.4
,"35-39 years",87,5994,14.5
,"40-44 years",20,5320,3.8
,"Unknown Age",".",".","."
"Seminole","15-17 years",7,1116,6.3
,"18-19 years",26,719,36.2
,"20-24 years",96,1495,64.2
,"25-29 years",73,1411,51.7
,"30-34 years",56,1288,43.5
,"35-39 years",17,1416,12.0
,"40-44 years",".",1395,"."
"Sequoyah","10-14 years",".",2738,"."
,"15-17 years",12,1675,7.2
,"18-19 years",35,958,36.5
,"20-24 years",175,2462,71.1
,"25-29 years",171,2611,65.5
,"30-34 years",79,2310,34.2
,"35-39 years",32,2368,13.5
,"40-44 years",6,2445,2.5
,"45-54 years",".",5344,"."
"Stephens","15-17 years",18,1831,9.8
,"18-19 years",29,911,31.8
,"20-24 years",141,2301,61.3
,"25-29 years",178,2609,68.2
,"30-34 years",96,2443,39.3
,"35-39 years",46,2700,17.0
,"40-44 years",".",2438,"."
"Texas","10-14 years",".",1511,"."
,"15-17 years",7,881,7.9
,"18-19 years",21,718,29.2
,"20-24 years",86,1499,57.4
,"25-29 years",110,1353,81.3
,"30-34 years",83,1384,60.0
,"35-39 years",28,1304,21.5
,"40-44 years",8,1225,6.5
"Tillman","15-17 years",".",290,"."
,"18-19 years",".",180,"."
,"20-24 years",17,397,42.8
,"25-29 years",28,404,69.3
,"30-34 years",18,387,46.5
,"35-39 years",7,402,17.4
,"40-44 years",".",413,"."
"Tulsa","10-14 years",".",45488,"."
,"15-17 years",149,26505,5.6
,"18-19 years",378,15943,23.7
,"20-24 years",1969,41635,47.3
,"25-29 years",2732,48974,55.8
,"30-34 years",2306,46385,49.7
,"35-39 years",1109,45041,24.6
,"40-44 years",196,39914,4.9
,"45-54 years",12,75937,0.2
,"Unknown Age",".",".","."
"Wagoner","15-17 years",7,3392,2.1
,"18-19 years",38,1836,20.7
,"20-24 years",183,4225,43.3
,"25-29 years",319,5107,62.5
,"30-34 years",235,5435,43.2
,"35-39 years",87,5617,15.5
,"40-44 years",9,5114,1.8
,"45-54 years",".",10167,"."
"Washington","15-17 years",9,2111,4.3
,"18-19 years",23,1186,19.4
,"20-24 years",160,2780,57.6
,"25-29 years",178,3159,56.3
,"30-34 years",140,3196,43.8
,"35-39 years",64,3378,18.9
,"40-44 years",11,2751,4.0
"Washita","10-14 years",".",769,"."
,"15-17 years",".",469,"."
,"18-19 years",11,241,45.6
,"20-24 years",47,533,88.2
,"25-29 years",49,668,73.4
,"30-34 years",34,659,51.6
,"35-39 years",10,703,14.2
,"40-44 years",".",611,"."
"Woods","15-17 years",".",253,"."
,"18-19 years",6,448,13.4
,"20-24 years",16,983,16.3
,"25-29 years",29,695,41.7
,"30-34 years",19,586,32.4
,"35-39 years",10,523,19.1
,"40-44 years",".",428,"."
"Woodward","10-14 years",".",1349,"."
,"15-17 years",".",809,"."
,"18-19 years",17,469,36.2
,"20-24 years",71,1221,58.1
,"25-29 years",81,1449,55.9
,"30-34 years",55,1343,41.0
,"35-39 years",9,1477,6.1
,"40-44 years",".",1278,"."

Year 2020
"",,"Births","Population","Birth Rate"
"County of Residence","Mother's Age"
"UNKNOWN","18-19 years",".",".","."
,"20-24 years",19,".","."
,"25-29 years",10,".","."
,"30-34 years",8,".","."
,"35-39 years",6,".","."
,"40-44 years",".",".","."
"Adair","15-17 years",6,1001,6.0
,"18-19 years",17,540,31.5
,"20-24 years",97,1295,74.9
,"25-29 years",78,1333,58.5
,"30-34 years",44,1241,35.5
,"35-39 years",18,1341,13.4
,"40-44 years",".",1233,"."
"Alfalfa","15-17 years",".",185,"."
,"18-19 years",".",91,"."
,"20-24 years",16,238,67.2
,"25-29 years",16,284,56.3
,"30-34 years",11,322,34.2
,"35-39 years",5,459,10.9
"Atoka","15-17 years",".",512,"."
,"18-19 years",10,280,35.7
,"20-24 years",54,718,75.2
,"25-29 years",40,982,40.7
,"30-34 years",25,866,28.9
,"35-39 years",10,904,11.1
,"40-44 years",".",813,"."
"Beaver","15-17 years",".",301,"."
,"18-19 years",".",133,"."
,"20-24 years",10,269,37.2
,"25-29 years",18,293,61.4
,"30-34 years",13,257,50.6
,"35-39 years",".",290,"."
,"40-44 years",5,294,17.0
"Beckham","15-17 years",6,862,7.0
,"18-19 years",11,442,24.9
,"20-24 years",70,1343,52.1
,"25-29 years",75,1636,45.8
,"30-34 years",68,1608,42.3
,"35-39 years",22,1563,14.1
,"40-44 years",".",1387,"."
"Blaine","15-17 years",".",410,"."
,"18-19 years",".",191,"."
,"20-24 years",35,491,71.3
,"25-29 years",41,538,76.2
,"30-34 years",18,492,36.6
,"35-39 years",8,523,15.3
,"40-44 years",".",500,"."
"Bryan","10-14 years",".",3114,"."
,"15-17 years",12,1800,6.7
,"18-19 years",36,1339,26.9
,"20-24 years",187,3317,56.4
,"25-29 years",175,3450,50.7
,"30-34 years",106,3577,29.6
,"35-39 years",46,3038,15.1
,"40-44 years",7,2768,2.5
"Caddo","10-14 years",".",1945,"."
,"15-17 years",6,1215,4.9
,"18-19 years",18,648,27.8
,"20-24 years",112,1648,68.0
,"25-29 years",94,1974,47.6
,"30-34 years",68,1899,35.8
,"35-39 years",24,1871,12.8
,"40-44 years",7,1724,4.1
,"45-54 years",".",3259,"."
"Canadian","15-17 years",15,6627,2.3
,"18-19 years",52,3257,16.0
,"20-24 years",321,8243,38.9
,"25-29 years",657,10534,62.4
,"30-34 years",561,12006,46.7
,"35-39 years",203,12369,16.4
,"40-44 years",34,10677,3.2
,"45-54 years",".",18116,"."
"Carter","15-17 years",12,2007,6.0
,"18-19 years",35,1048,33.4
,"20-24 years",194,2889,67.2
,"25-29 years",185,3325,55.6
,"30-34 years",106,2996,35.4
,"35-39 years",57,3013,18.9
,"40-44 years",11,2885,3.8
"Cherokee","10-14 years",".",2966,"."
,"15-17 years",7,1761,4.0
,"18-19 years",26,1848,14.1
,"20-24 years",181,5371,33.7
,"25-29 years",177,3260,54.3
,"30-34 years",103,2728,37.8
,"35-39 years",47,2968,15.8
,"40-44 years",8,2703,3.0
"Choctaw","15-17 years",".",599,"."
,"18-19 years",18,335,53.7
,"20-24 years",63,765,82.4
,"25-29 years",56,844,66.4
,"30-34 years",28,765,36.6
,"35-39 years",13,772,16.8
,"40-44 years",".",812,"."
,"45-54 years",".",1641,"."
"Cimarron","20-24 years",7,93,75.3
,"25-29 years",9,88,102.3
,"30-34 years",7,95,73.7
,"35-39 years",".",126,"."
,"40-44 years",".",81,"."
"Cleveland","10-14 years",".",17995,"."
,"15-17 years",24,10986,2.2
,"18-19 years",107,10265,10.4
,"20-24 years",577,31207,18.5
,"25-29 years",853,21693,39.3
,"30-34 years",733,19801,37.0
,"35-39 years",320,20449,15.6
,"40-44 years",78,17983,4.3
,"45-54 years",".",31891,"."
,"Unknown Age",".",".","."
"Coal","18-19 years",7,131,53.4
,"20-24 years",27,321,84.1
,"25-29 years",29,322,90.1
,"30-34 years",14,294,47.6
,"35-39 years",6,295,20.3
"Comanche","15-17 years",42,4452,9.4
,"18-19 years",101,4101,24.6
,"20-24 years",503,10628,47.3
,"25-29 years",556,10444,53.2
,"30-34 years",344,9534,36.1
,"35-39 years",134,8555,15.7
,"40-44 years",27,7032,3.8
,"45-54 years",".",12382,"."
"Cotton","15-17 years",".",222,"."
,"18-19 years",5,122,41.0
,"20-24 years",13,310,41.9
,"25-29 years",20,296,67.6
,"30-34 years",6,313,19.2
,"35-39 years",5,313,16.0
"Craig","15-17 years",".",531,"."
,"18-19 years",8,303,26.4
,"20-24 years",54,846,63.8
,"25-29 years",44,882,49.9
,"30-34 years",29,848,34.2
,"35-39 years",10,818,12.2
,"40-44 years",".",840,"."
"Creek","15-17 years",16,2940,5.4
,"18-19 years",37,1597,23.2
,"20-24 years",242,4053,59.7
,"25-29 years",253,4513,56.1
,"30-34 years",159,4254,37.4
,"35-39 years",74,4363,17.0
,"40-44 years",14,4207,3.3
"Custer","15-17 years",5,1213,4.1
,"18-19 years",25,1184,21.1
,"20-24 years",81,3560,22.8
